Content,File Name,True Value,Predicted Value,Folder,Source,Date,Perf,direction,point
Borsa İstanbul'un en çok kar sağlayan sektörü belli oldu,haberler_30.6.2020.txt,1,1,pos,haberler,2020-06-30,0.09,1,0.09
BIST 30 Endeksi'nde açığa satış yasağı kaldırıldı,haberler_1.7.2020.txt,0,0,neg,haberler,2020-07-01,-1.58,1,1.58
Borsa günün ilk yarısında yatay seyretti,haberler_3.7.2020.txt,0,0,neg,haberler,2020-07-03,-1.34,1,1.34
Borsa İstanbul'dan tüm zamanların işlem hacmi rekoru,haberler_7.7.2020.txt,1,1,pos,haberler,2020-07-07,0.46,1,0.46
Avrupa borsaları karışık açıldı,haberler_9.7.2020.txt,0,0,neg,haberler,2020-07-09,-2.98,1,2.98
Asya borsaları haftanın ilk işlem gününde görünüm pozitif,haberler_13.7.2020.txt,1,1,pos,haberler,2020-07-13,1.84,1,1.84
Asya borsaları Hindistan hariç geriledi,haberler_16.7.2020.txt,0,0,neg,haberler,2020-07-16,0.06,-1,-0.06
Borsa İstanbul günü yatay tamamladı,haberler_17.7.2020.txt,0,0,neg,haberler,2020-07-17,-0.07,1,0.07
Avrupa borsaları haftaya düşüşle başladı,haberler_20.7.2020.txt,0,0,neg,haberler,2020-07-20,0.37,-1,-0.37
New York borsası dalgalı seyirle açıldı,haberler_22.7.2020.txt,0,0,neg,haberler,2020-07-22,-0.62,1,0.62
Avrupa borsaları güne karışık başladı,haberler_23.7.2020.txt,0,0,neg,haberler,2020-07-23,0.27,-1,-0.27
Vodafone kule şirketini halka arz edecek,haberler_24.7.2020.txt,1,1,pos,haberler,2020-07-24,0.59,1,0.59
Asya borsaları Japonya hariç yükseldi,haberler_28.7.2020.txt,1,1,pos,haberler,2020-07-28,-3.71,-1,-3.71
Avrupa borsaları güne karışık seyirle başladı,haberler_29.7.2020.txt,0,0,neg,haberler,2020-07-29,-1.77,1,1.77
"Asya borsaları, Japonya hariç yükseldi",haberler_5.8.2020.txt,1,1,pos,haberler,2020-08-05,-0.32,-1,-0.32
